bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country
"-0.259113039407026,51.41775200619059,-0.126363660081452,51.48504875775998",uuuu,85633159,,cab317385171bee77094f26dbec8097f,,e71a98d8e5e627cf58fc37bb322f18f2,51.451354,-0.186443,1158857251,uuuu,GB,GB,1513913234,51.455404,-0.191963,101750367,Wandsworth,101750367,115/885/725/1/1158857251.geojson,borough,-1,gbr-datalondon,,"85866385,85683671,404434007",GB
"0.07465268963205,51.40848347365358,0.217615856903035,51.513294221762095",uuuu,85633159,,20f07154188fee15945fb7b6673774fa,,f40094e72270af02d390ab4269ea20a8,51.458819,0.140355,1158857255,uuuu,GB,GB,1513913238,51.445655,0.148990,101750367,Bexley,101750367,115/885/725/5/1158857255.geojson,borough,-1,gbr-datalondon,,"420781645,85683763,404432593",GB
"-0.113821030200722,51.507788985221524,-0.072749284309804,51.52332127422235",uuuu,85633159,,811bea288d05453e25c88431079ecf96,,0f2bda106eb2faf3b1883f8809fe05df,51.514845,-0.092171,1158857257,uuuu,GB,GB,1513913243,51.513263,-0.089878,101750367,City,101750367,115/885/725/7/1158857257.geojson,borough,-1,gbr-datalondon,,"420781621,85684081,404453147",GB
"-0.46150226755013,51.42073927141819,-0.244420551360859,51.50285053734015",uuuu,85633159,,8a196ca999564d0449db775e90ff1795,,aa608f6a6d7effb650e363a53534179a,51.468378,-0.367123,1158857259,uuuu,GB,GB,1513913245,51.466478,-0.361878,101750367,Hounslow,101750367,115/885/725/9/1158857259.geojson,borough,-1,gbr-datalondon,,"420781647,85684141,404449367",GB
"-0.510375069372048,51.45326668335251,-0.375929149237083,51.63175902608704",uuuu,85633159,,5b261494845b7fdf72cb6cddb34a75fc,,2f108b18e4cd4c9532b3b2ef7f562b0e,51.541513,-0.445658,1158857261,uuuu,GB,GB,1513913252,51.533593,-0.449482,101750367,Hillingdon,101750367,115/885/726/1/1158857261.geojson,borough,-1,gbr-datalondon,,"85788217,85683711,404438215",GB
"-0.404071930986525,51.55306134589119,-0.267155870220736,51.640531760679686",uuuu,85633159,,ebc9aa452e93739b9807f381a1fcc9ec,,193d69feb82c87cf9a705a56c7f3a7fe,51.597723,-0.341267,1158857263,uuuu,GB,GB,1513913257,51.581439,-0.334813,101750367,Harrow,101750367,115/885/726/3/1158857263.geojson,borough,-1,gbr-datalondon,,"85787969,85683765,404436581",GB
"-0.419621630372858,51.49047038937508,-0.245086769993154,51.55968365416931",uuuu,85633159,,aec6541c8d77fd971230c740c31c0175,,8d912b7e1a21f6ad337c1ee06d36099b,51.522475,-0.331026,1158857265,uuuu,GB,GB,1513913260,51.510513,-0.307506,101750367,Ealing,101750367,115/885/726/5/1158857265.geojson,borough,-1,gbr-datalondon,,"85866389,85683679,404437233",GB
"-0.335584420386048,51.52765401074499,-0.191483480442048,51.60037034806021",uuuu,85633159,,f45167eff12f2d817fc0639b4e02af80,,ad3dd73111aeed9c1fc7306f7d9f27de,51.558556,-0.267821,1158857267,uuuu,GB,GB,1513913264,51.561808,-0.265970,101750367,Brent,101750367,115/885/726/7/1158857267.geojson,borough,-1,gbr-datalondon,,"85865123,85684003,404429757",GB
"-0.079429726338658,51.485961906351726,0.009206172213112,51.544685901916814",uuuu,85633159,,759767ed2cb68367da560607861f2f15,,69b9d94bd62ccc4957df6ffa9918c8a9,51.517171,-0.035588,1158857269,uuuu,GB,GB,1513913268,51.520821,-0.056456,101750367,Tower Hamlets,101750367,115/885/726/9/1158857269.geojson,borough,-1,gbr-datalondon,,"85865133,85684467,404449503",GB
"-0.104510704571625,51.51981440855312,-0.016527214279932,51.57778428185774",uuuu,85633159,,0ae8488207a1f8694715e12d34f58271,,0c847af411bb151437a19956b59bf448,51.552267,-0.063316,1158857273,uuuu,GB,GB,1513913272,51.545361,-0.056455,101750367,Hackney,101750367,115/885/727/3/1158857273.geojson,borough,-1,gbr-datalondon,,"85866371,85683683,404436049",GB
